,SID,NAME,SEASON,NUMBER,NATURE,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_GUST
82432,2015127N04158,DOLPHIN,2015,28,TS,2015-05-06 12:00:00,4.1,157.9, ,1004, , , , , 
82433,2015127N04158,DOLPHIN,2015,28,TS,2015-05-06 15:00:00,4.0813,158.333, , , , , , , 
82434,2015127N04158,DOLPHIN,2015,28,TS,2015-05-06 18:00:00,4.11429,158.771, ,1004, ,TD,25,1004, 
82435,2015127N04158,DOLPHIN,2015,28,TS,2015-05-06 21:00:00,4.03629,159.147, , , ,TD,25,1004, 
82436,2015127N04158,DOLPHIN,2015,28,TS,2015-05-07 00:00:00,3.9,159.5, ,1004, ,TD,25,1004, 
82437,2015127N04158,DOLPHIN,2015,28,TS,2015-05-07 03:00:00,3.69999,159.86, , , ,TD,25,1004, 
82438,2015127N04158,DOLPHIN,2015,28,TS,2015-05-07 06:00:00,3.53333,160.2, ,1004, ,TD,25,1004, 
82439,2015127N04158,DOLPHIN,2015,28,TS,2015-05-07 09:00:00,3.46241,160.467, , , ,TD,27,1002, 
82440,2015127N04158,DOLPHIN,2015,28,TS,2015-05-07 12:00:00,3.43333,160.7, ,1004, ,TD,30,1000, 
82441,2015127N04158,DOLPHIN,2015,28,TS,2015-05-07 15:00:00,3.37083,160.964, , , ,TD,30,1000, 
82442,2015127N04158,DOLPHIN,2015,28,TS,2015-05-07 18:00:00,3.33333,161.233, ,1004, ,TD,30,1000, 
82443,2015127N04158,DOLPHIN,2015,28,TS,2015-05-07 21:00:00,3.34917,161.512, , , ,TD,30,1000, 
82444,2015127N04158,DOLPHIN,2015,28,TS,2015-05-08 00:00:00,3.40769,161.769, ,1004, ,TD,30,1000, 
82445,2015127N04158,DOLPHIN,2015,28,TS,2015-05-08 03:00:00,3.48928,161.962, , , ,TD,30,1000, 
82446,2015127N04158,DOLPHIN,2015,28,TS,2015-05-08 06:00:00,3.58667,162.127, ,1002, ,TD,30,1000, 
82447,2015127N04158,DOLPHIN,2015,28,TS,2015-05-08 09:00:00,3.6675,162.304, , , ,TD,32,998, 
82448,2015127N04158,DOLPHIN,2015,28,TS,2015-05-08 12:00:00,3.75,162.45, ,1004, ,TS,35,996, 
82449,2015127N04158,DOLPHIN,2015,28,TS,2015-05-08 15:00:00,3.86875,162.541, , , ,TS,35,996, 
82450,2015127N04158,DOLPHIN,2015,28,TS,2015-05-08 18:00:00,4.025,162.575, ,1004, ,TS,35,996, 
82451,2015127N04158,DOLPHIN,2015,28,TS,2015-05-08 21:00:00,4.2175,162.571, , , ,TS,35,996, 
82452,2015127N04158,DOLPHIN,2015,28,TS,2015-05-09 00:00:00,4.425,162.525, ,1004, ,TS,35,996, 
82453,2015127N04158,DOLPHIN,2015,28,TS,2015-05-09 03:00:00,4.59937,162.474, , , ,TS,35,996, 
82454,2015127N04158,DOLPHIN,2015,28,TS,2015-05-09 06:00:00,4.8,162.375, ,1004, ,TS,35,996, 
82455,2015127N04158,DOLPHIN,2015,28,TS,2015-05-09 09:00:00,5.08747,162.236, , , ,TS,35,996, 
82456,2015127N04158,DOLPHIN,2015,28,TS,2015-05-09 12:00:00,5.375,162.0,35,1000, ,TS,35,996, 
82457,2015127N04158,DOLPHIN,2015,28,TS,2015-05-09 15:00:00,5.56813,161.639, , , ,TS,35,996, 
82458,2015127N04158,DOLPHIN,2015,28,TS,2015-05-09 18:00:00,5.75,161.2,35,1000, ,TS,35,996, 
82459,2015127N04158,DOLPHIN,2015,28,TS,2015-05-09 21:00:00,5.98696,160.705, , , ,TS,35,996, 
82460,2015127N04158,DOLPHIN,2015,28,TS,2015-05-10 00:00:00,6.25,160.3,35,1000, ,TS,35,996, 
82461,2015127N04158,DOLPHIN,2015,28,TS,2015-05-10 03:00:00,6.50806,160.134, , , ,TS,37,994, 
82462,2015127N04158,DOLPHIN,2015,28,TS,2015-05-10 06:00:00,6.8,160.1,35,1000, ,TS,40,993, 
82463,2015127N04158,DOLPHIN,2015,28,TS,2015-05-10 09:00:00,7.13063,160.082, , , ,TS,42,991, 
82464,2015127N04158,DOLPHIN,2015,28,TS,2015-05-10 12:00:00,7.525,160.075,40,998, ,TS,45,989, 
82465,2015127N04158,DOLPHIN,2015,28,TS,2015-05-10 15:00:00,8.01438,160.022, , , ,TS,42,991, 
82466,2015127N04158,DOLPHIN,2015,28,TS,2015-05-10 18:00:00,8.5,159.95,40,998, ,TS,40,993, 
82467,2015127N04158,DOLPHIN,2015,28,TS,2015-05-10 21:00:00,8.88,159.869, , , ,TS,40,993, 
82468,2015127N04158,DOLPHIN,2015,28,TS,2015-05-11 00:00:00,9.2,159.8,40,998, ,TS,40,993, 
82469,2015127N04158,DOLPHIN,2015,28,TS,2015-05-11 03:00:00,9.52496,159.805, , , ,TS,40,993, 
82470,2015127N04158,DOLPHIN,2015,28,TS,2015-05-11 06:00:00,9.775,159.75,40,998, ,TS,40,993, 
82471,2015127N04158,DOLPHIN,2015,28,TS,2015-05-11 09:00:00,9.91258,159.494, , , ,TS,40,993, 
82472,2015127N04158,DOLPHIN,2015,28,TS,2015-05-11 12:00:00,9.975,159.2,40,998, ,TS,40,993, 
82473,2015127N04158,DOLPHIN,2015,28,TS,2015-05-11 15:00:00,10.0237,159.046, , , ,TS,40,993, 
82474,2015127N04158,DOLPHIN,2015,28,TS,2015-05-11 18:00:00,10.05,158.9,45,994, ,TS,40,993, 
82475,2015127N04158,DOLPHIN,2015,28,TS,2015-05-11 21:00:00,10.0844,158.659, , , ,TS,40,993, 
82476,2015127N04158,DOLPHIN,2015,28,TS,2015-05-12 00:00:00,10.1,158.4,50,990, ,TS,40,993, 
82477,2015127N04158,DOLPHIN,2015,28,TS,2015-05-12 03:00:00,10.0881,158.189, , , ,TS,42,991, 
82478,2015127N04158,DOLPHIN,2015,28,TS,2015-05-12 06:00:00,10.05,157.975,55,985, ,TS,45,989, 
82479,2015127N04158,DOLPHIN,2015,28,TS,2015-05-12 09:00:00,9.98186,157.726, , , ,TS,45,989, 
82480,2015127N04158,DOLPHIN,2015,28,TS,2015-05-12 12:00:00,9.925,157.45,55,985, ,TS,45,989, 
82481,2015127N04158,DOLPHIN,2015,28,TS,2015-05-12 15:00:00,9.91499,157.157, , , ,TS,50,985, 
